flyer_item,sku,offer,discount,offer_price,regular_price,instalment_mth,platform,category,url,report_time,,platform,flyer items,offer items,discount items,items by instl./mth,offer items %,discount items %,avg. discount %,avg. instl./mth %,,flyer - category,flyer items,offer items,discount items,items by instl./mth,portfolio %,offer items %,discount items %,avg. discount %,avg. instl./mth %,,flyer - category,Leon's items,Tepperman's items,The Brick items,Walmart items,,flyer - category,Leon's discount %,Tepperman's discount %,The Brick discount %,Walmart discount %
"Pearl 24"" Black and White Marble 2-Piece Set, with Two Table Lamps and USB Charging, , $159.95 After Discount . Select for details.","Pearl 24"" Black and White Marble 2-Piece Set","with Two Table Lamps and USB Charging, ",,159.95,,,The Brick,TV & Lighting,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,Tepperman's,229,37,28,100,16.16%,12.23%,35.66%,2.03%,,Bedroom & Mattress,224,100,63,31,22.33%,44.64%,28.13%,37.06%,19.30%,,Bedroom & Mattress,84,35,105,,,TV & Lighting,7.08%,36.06%,,
"Hudson 26"" Tiffany Style Hand-Blown Glass Table Lamp, , $199.95 After Discount . Select for details.","Hudson 26"" Tiffany Style Hand-Blown Glass Table Lamp",,,199.95,,,The Brick,TV & Lighting,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,The Brick,129,71,36,18,55.04%,27.91%,33.73%,30.33%,,Cleaning & Drying,66,6,6,12,6.58%,9.09%,9.09%,17.97%,2.38%,,Cleaning & Drying,32,34,,,,Refrigeration,12.52%,,,18.34%
"Zeus 24"" Matte Black LED Table Lamp, , $139.95 After Discount . Select for details.","Zeus 24"" Matte Black LED Table Lamp",,,139.95,,,The Brick,TV & Lighting,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,Walmart,368,214,42,0,58.15%,11.41%,25.94%,,,Table+Chair+Desk,62,9,4,3,6.18%,14.52%,6.45%,28.92%,2.17%,,TV & Lighting,10,17,11,1,,"BBQ, Cooking & Dining",27.44%,20.24%,,
"Isabel 30.25"" White and Gold Table Lamp, , $119.95 After Discount . Select for details.","Isabel 30.25"" White and Gold Table Lamp",,,119.95,,,The Brick,TV & Lighting,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,Leon's,277,67,50,0,24.19%,18.05%,26.51%,,,Sofa Sets,59,14,12,7,5.88%,23.73%,20.34%,30.15%,2.11%,,Refrigeration,16,32,,8,,Bedroom & Mattress,40.79%,40.48%,33.92%,
"Freida 36.75"" Modern Gold Table Lamp, , $89.95 After Discount . Select for details.","Freida 36.75"" Modern Gold Table Lamp",,,89.95,,,The Brick,TV & Lighting,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,TV & Lighting,39,9,8,8,3.89%,23.08%,20.51%,16.80%,2.04%,,"BBQ, Cooking & Dining",23,24,,4,,Sofa Sets,30.37%,,25.00%,
"Abella 24"" Brushed Steel Table Lamp with USB Charging, , $79.95 After Discount . Select for details.","Abella 24"" Brushed Steel Table Lamp with USB Charging",,,79.95,,,The Brick,TV & Lighting,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,Refrigeration,56,13,8,19,5.58%,23.21%,14.29%,12.54%,1.97%,,Sofa Sets,49,8,2,,,Table+Chair+Desk,27.28%,33.44%,,
"21.5"" Oil-Rubbed Bronze Desk/Task Lamp, , $74.95 After Discount . Select for details.","21.5"" Oil-Rubbed Bronze Desk/Task Lamp",,,74.95,,,The Brick,TV & Lighting,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,"BBQ, Cooking & Dining",51,15,7,12,5.08%,29.41%,13.73%,23.20%,1.94%,,Table+Chair+Desk,39,21,1,1,,Cleaning & Drying,17.97%,,,
"Mountain Breeze 25"" Idustrial Bronzed Finish Table Lamp, , BUYER'S BEST $69.00 . Select for details.","Mountain Breeze 25"" Idustrial Bronzed Finish Table Lamp",,,69,,,The Brick,TV & Lighting,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24"" Industrial Iron Cage Desk/Task Lamp, , $54.95 After Discount . Select for details.","24"" Industrial Iron Cage Desk/Task Lamp",,,54.95,,,The Brick,TV & Lighting,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mojave Bedside 2-Drawer Nightstand, 21.5""W x 22.9""H, Rustic - Natural Brown, , $149.95 After Discount . Select for details.",Mojave Bedside 2-Drawer Nightstand,"21.5""W x 22.9""H, Rustic - Natural Brown, ",,149.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mojave Bedroom Chest of Drawers, 5-Drawer, 31.4""W x 47.3""H, Rustic - Natural Brown, , $269.95 After Discount . Select for details.",Mojave Bedroom Chest of Drawers,"5-Drawer, 31.4""W x 47.3""H, Rustic - Natural Brown, ",,269.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tilda 3-Piece Full/Queen Comforter Set, , $149.95 . Select for details.",Tilda 3-Piece Full/Queen Comforter Set,,,149.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kort & Co. Rain Upholstered Platform Bed in Pink Fabric, Tufted - Queen Size, HOT BUY, $499.95 . Select for details.",Kort & Co. Rain Upholstered Platform Bed in Pink Fabric,"Tufted - Queen Size, HOT BUY",,499.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Remi Nightstand - White, , $129.00 After Discount . Select for details.",Remi Nightstand - White,,,129,,,The Brick,,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Remi Chest - White, , $279.00 After Discount . Select for details.",Remi Chest - White,,,279,,,The Brick,,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paseo Upholstered Platform Bed in Navy Fabric - Queen Size, HOT BUY, SAVE $100, $299.95 After Discount . Select for details.",Paseo Upholstered Platform Bed in Navy Fabric - Queen Size,"HOT BUY, SAVE $100",100,299.95,399.95,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abby Bedroom Narrow Chest of Drawers, 5-Drawer, 21.7""W x 53.9""H - White, , $549.95 ea. . Select for details.",Abby Bedroom Narrow Chest of Drawers,"5-Drawer, 21.7""W x 53.9""H - White, ",,549.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olivia Bedside 2-Drawer Nightstand, 23.5""W x 25.2""H, Made in Canada - Grey, , $149.95 ea. After Discount . Select for details.",Olivia Bedside 2-Drawer Nightstand,"23.5""W x 25.2""H, Made in Canada - Grey, ",,149.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kort & Co. Clay Upholstered Platfom Bed in Brown Vegan-Leather Fabric, Tufted - Queen Size, SAVE $100, HOT BUY, $399.95 After Discount . Select for details.",Kort & Co. Clay Upholstered Platfom Bed in Brown Vegan-Leather Fabric,"Tufted - Queen Size, SAVE $100, HOT BUY",100,399.95,499.95,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
